Imbalanced Loss	Imbalanced Acc.	Imbalanced GM.	Reversed Loss	Reversed Acc.	Reversed GM.	Weak Loss	Weak Acc.	Weak GM.	Strong Loss	Strong Acc.	Strong GM.	
2.574369	3.107345	0.001995	2.618193	5.205811	0.001995	2.440766	10.000000	0.001995	2.556722	10.000000	0.001995	
2.367393	10.451977	0.006558	2.425169	9.160613	0.006452	2.298656	11.070000	0.006729	2.728276	10.030000	0.002138	
1.694027	37.489911	0.149366	1.952875	37.288136	0.185543	1.893451	30.640000	0.155839	2.496066	14.530000	0.043217	
1.242229	56.093624	0.332761	1.886818	34.907183	0.315835	1.704038	38.860000	0.315999	2.555500	16.410000	0.054560	
1.018936	64.366425	0.393268	1.970829	32.929782	0.357550	1.635600	42.330000	0.381537	2.769098	15.880000	0.064561	
0.886448	69.007264	0.372989	2.142619	31.355932	0.390562	1.616590	44.790000	0.406520	3.113341	15.890000	0.054412	
0.813441	71.388216	0.399867	2.340225	31.396287	0.415594	1.629059	45.520000	0.407014	3.392554	16.040000	0.051050	
0.770518	73.083132	0.413969	2.556091	30.266344	0.412065	1.654611	47.460000	0.422018	3.549709	16.770000	0.055642	
0.745383	74.092010	0.429403	2.659952	31.355932	0.426042	1.662961	48.480000	0.431871	3.591657	17.140000	0.057894	
0.726768	75.141243	0.457561	2.820001	31.396287	0.425443	1.706127	49.610000	0.441701	3.412203	18.700000	0.067389	
0.725617	76.109766	0.445492	2.987096	30.912026	0.429329	1.761025	49.790000	0.437390	3.279062	19.220000	0.065454	
0.720975	76.674738	0.467497	2.991899	31.517353	0.442158	1.751455	50.880000	0.453717	2.983322	20.530000	0.082346	
0.712659	77.643261	0.481401	3.000375	32.687651	0.462810	1.740769	51.560000	0.461400	2.774416	21.510000	0.091664	
0.708378	78.773204	0.493029	2.992649	33.696529	0.479735	1.752122	52.350000	0.470066	2.545696	23.890000	0.129141	
0.711611	79.217111	0.530232	2.854709	36.158192	0.501907	1.706340	54.020000	0.489981	2.380043	25.030000	0.138967	
0.717747	79.539952	0.525605	2.848632	36.561743	0.509244	1.707002	54.800000	0.498877	2.290681	26.640000	0.159890	
